name,field_office,address_line1,city,state,postal_code,country,phone,address_full,detail_url,latitude,longitude,trac_type_detailed,trac_guaranteed_minimum,trac_average_daily_population,trac_as_of
Grand Forks County Correctional Center,St. Paul Field Office,1701 North Washington,Grand Forks,ND,58203,United States,,"1701 North Washington Grand Forks, ND 58203 United States",https://www.ice.gov/detain/detention-facilities/grand-forks-county-correctional-center,47.935621,-97.0576258,,,,
Grayson County Detention Center,Chicago Field Office,320 Shaw Station Road,Leachfield,KY,42754,United States,,"320 Shaw Station Road Leachfield, KY 42754 United States",https://www.ice.gov/detain/detention-facilities/grayson-county-detention-center,37.4890253,-86.27049819999999,USMS IGA,,0,01/07/2021
Greene County Jail,Chicago Field Office,1199 N Haseltine Road,Springfield,MO,65802,United States,(417) 868-4040,"1199 N Haseltine Road Springfield, MO 65802 United States",https://www.ice.gov/detain/detention-facilities/greene-county-jail,37.224653,-93.38618,USMS IGA,,273,11/28/2025
"Guam Department of Corrections, Hagatna Detention Facility",San Francisco Field Office,203 Aspinall Avenue,Hagatna,GU,96910,United States,,"203 Aspinall Avenue Hagatna, GU 96910 United States",https://www.ice.gov/detain/detention-facilities/guam-department-corrections-hagatna-detention-facility,13.474307,144.7505229,,,,
Henderson Detention Center,Salt Lake City Field Office,18 E. Basic Road,Henderson,NV,89015,United States,,"18 E. Basic Road Henderson, NV 89015 United States",https://www.ice.gov/detain/detention-facilities/henderson-detention-center,36.0309509,-114.9787348,USMS IGA,,69,09/30/2023
Hopkins County Jail,Chicago Field Office,2250 Laffoon Trl,Madisonville,KY,42431,United States,,"2250 Laffoon Trl Madisonville, KY 42431 United States",https://www.ice.gov/detention-facilities/hopkins-county,37.3377164,-87.54017809999999,USMS IGA,,166,11/28/2025
Houston Contract Detention Facility,Houston Field Office,15850 Export Plaza Drive,Houston,TX,77032,United States,,"15850 Export Plaza Drive Houston, TX 77032 United States",https://www.ice.gov/detain/detention-facilities/houston-contract-detention-facility,29.9497807,-95.31226939999999,CDF,750,881,11/28/2025
IAH Polk Adult Detention Facility,Houston Field Office,3400 FM 350 South,Livingston,TX,77351,United States,,"3400 FM 350 South Livingston, TX 77351 United States",https://www.ice.gov/detain/detention-facilities/iah-polk-adult-detention-facility,30.6980352,-95.0062201,,,,
Imperial Regional Detention Facility,San Diego Field Office,1572 Gateway Road,Calexico,CA,92231,United States,,"1572 Gateway Road Calexico, CA 92231 United States",https://www.ice.gov/detain/detention-facilities/imperial-regional-detention-facility,32.6901156,-115.3975363,CDF,640,642,11/28/2025
Jackson Parish Correctional Center,New Orleans Field Office,287 Industrial Drive,Jonesboro,LA,71251,United States,,"287 Industrial Drive Jonesboro, LA 71251 United States",https://www.ice.gov/detain/detention-facilities/jackson-parish-correctional-center,32.215231,-92.7158968,IGSA,500,1205,11/28/2025
Joe Corley Processing Center,Houston Field Office,500 Hilbig Road,Conroe,TX,77301,United States,,"500 Hilbig Road Conroe, TX 77301 United States",https://www.ice.gov/detain/detention-facilities/joe-corley-processing-center,30.3357896,-95.4480609,,,,
Kandiyohi County Jail,St. Paul Field Office,2201 23rd St. NE,Willmar,MN,56201,United States,,"2201 23rd St. NE Willmar, MN 56201 United States",https://www.ice.gov/detain/detention-facilities/kandiyohi-county-jail,45.1457492,-95.0139765,IGSA,,110,11/28/2025
Karnes County Immigration Processing Center,San Antonio Field Office,409 FM 1144,Karnes City,TX,78118,United States,,"409 FM 1144 Karnes City, TX 78118 United States",https://www.ice.gov/detain/detention-facilities/karnes-county-ipc,28.8849772,-97.9008355,DIGSA,928,1185,11/28/2025
Kay County Detention Center,Chicago Field Office,1101 West Dry Road,Newkirk,OK,74647,United States,,"1101 West Dry Road Newkirk, OK 74647 United States",https://www.ice.gov/detain/detention-facilities/kay-county-detention-center,36.8678591,-97.0691621,,,,
Kenton County Detention Center,Chicago Field Office,3000 Decker Crane Lane,Covington,KY,41017,United States,,"3000 Decker Crane Lane Covington, KY 41017 United States",https://www.ice.gov/detain/detention-facilities/kenton-county-detention-center,39.0024275,-84.53061249999999,,,,
Krome North Service Processing Center,Miami Field Office,18201 SW 12th Street,Miami,FL,33194,United States,,"18201 SW 12th Street Miami, FL 33194 United States",https://www.ice.gov/detain/detention-facilities/krome-north-service-processing-center,25.7543477,-80.4891143,SPC,450,843,11/28/2025
